Dataset,Folder,File,F1,TP,FP,FN,Time
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450976700,0.5,1,0,2,9.98273515701294
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450760100,1.0,3,0,0,12.586503982543945
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451038740,1.0,3,0,0,12.98633861541748
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450960800,1.0,3,0,0,13.070682048797607
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451170500,1.0,3,0,0,13.078716039657593
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450934400,1.0,3,0,0,13.365295886993408
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451132400,1.0,3,0,0,13.55928897857666
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450871400,1.0,3,0,0,13.75665020942688
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450768560,1.0,3,0,0,13.783276081085205
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451110500,1.0,3,0,0,16.543250799179077
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450753500,1.0,3,0,0,13.875264883041382
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450936200,1.0,3,0,0,13.104292869567871
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451098320,0.8,2,0,1,12.909266948699951
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450667700,1.0,3,0,0,13.25090217590332
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451040000,1.0,3,0,0,14.316405057907104
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450894200,1.0,3,0,0,13.942770004272461
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451040600,0.6666666666666666,2,1,1,17.736643075942993
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451225100,1.0,3,0,0,14.206637859344482
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451103300,1.0,3,0,0,18.841336011886597
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450962000,1.0,3,0,0,19.0829439163208
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451200800,1.0,3,0,0,14.682545900344849
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450857000,0.8,2,0,1,17.062087774276733
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450757400,1.0,3,0,0,14.011652708053589
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450926600,1.0,3,0,0,14.465317010879517
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450821000,0.6666666666666666,2,1,1,18.024226665496826
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451103900,1.0,3,0,0,13.395752906799316
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451205000,1.0,3,0,0,14.012651681900024
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450697700,1.0,3,0,0,19.448673963546753
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450910100,0.6666666666666666,2,1,1,18.019127130508423
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450851600,1.0,3,0,0,20.589009284973145
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450992300,1.0,3,0,0,12.791191101074219
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451195100,0.8,2,0,1,13.560476303100586
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450846200,0.8,2,0,1,13.289847135543823
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451194500,1.0,3,0,0,13.256080865859985
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450873800,1.0,3,0,0,13.748830080032349
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451216700,0.8,2,0,1,12.93071985244751
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451112600,1.0,3,0,0,13.495784997940063
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451044500,1.0,3,0,0,13.891073942184448
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450765200,0.8,2,0,1,13.105700254440308
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451114100,1.0,3,0,0,15.184148073196411
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450685460,1.0,3,0,0,14.307049989700317
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451211600,1.0,3,0,0,14.089903116226196
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450769700,0.4,1,1,2,17.940210819244385
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451020800,1.0,3,0,0,14.709819316864014
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451043300,1.0,3,0,0,14.758034944534302
